ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
539845,Audio,Carolina Wren,Thryothorus ludovicianus,,Wil Hershberger,2018-04-17,2018,4,17,1323,United States,US-WV-003,West Virginia,Berkeley,1.5 km WSW of Johnsontown,39.5751881,-78.0568421,Adult Female – 1,Call,Not Used,,,,,Sound Devices MixPre-6,Sennheiser ME 66,,,,,-1.1,,"Close mic'ing of a Carolina Wren nest over the front door. There is evidence that they are already nesting. These calls could be the female or a juvenile within the nest. If a juvenile, I would think that there would be more than one calling. The ME 66 had a Rycote SuperSoftie attached and could have looked threatening.
 Same individuals as in ML539355.
 
 If anyone knows what the dove-like cooing is at the head of the cut, please let me know. Other Behaviors: Emit Distress Calls. Equipment Notes: Recorder's HPF on (80Hz, -18dB/octave). Elevation: 176 m.",,Thryothorus ludovicianus,carwre,Species,27107,,5.00,6,,,
393675451,Audio,Carolina Wren,Thryothorus ludovicianus,,James Remsen,2021-11-05,2021,11,5,1014,United States,US-NY-103,New York,Suffolk,Southards Pond Park,40.7102149,-73.3287406,Adult – 1,Call,Not Used,,,,,Voice Record Pro on iPhone 13 Pro,Wildtronics Pro Mono,"iRig Pre HD, Wildtronics 22"" Parabola",,S97155015,,,,"Bird calling low in the underbrush, giving ""cheer"" notes and scolds.  I did not see the bird at all until the very end of the recording, when it flew out and crossed the trail.  Normalized to -3 dB except for voice announcement at -10 dB. 24-bit/48 kHz WAV file edited with Ocenaudio. Unfiltered.",,Thryothorus ludovicianus,carwre,Species,27107,,4.71,7,,,
306054,Audio,Carolina Wren,Thryothorus ludovicianus,,Wil Hershberger,2020-01-15,2020,1,15,1107,United States,US-WV-003,West Virginia,Berkeley,Wood Song,39.5749560,-78.0544680,Adult – 1,Call,Not Used,,,,,Sound Devices MixPre-6,Sennheiser ME 66,,,,,,,"Behavior and other notes: An adult Carolina Wren scolding near the feeders. Recording Time: 1107 (UTC -5).  Temperature 5.4C.  Habitat: mixed deciduous woods.  Distance to sound source: 8 meters.  Specific location: Wood Song, Berkeley Co., WV. Latitude 39.575464, Longitude -78.056623.  Elevation 156 meters.  ID’d by sight and sound; ID confidence 100%.  Equipment notes: Recorder HPF on at 80Hz, -18dB/octave. Recordists original file name: WH20T-019_Wood Song_ME66 at feeders_CARW chatter_Berkeley Co WV.wav",,Thryothorus ludovicianus,carwre,Species,27107,,5.00,5,,,
539445,Audio,Carolina Wren,Thryothorus ludovicianus,,Wil Hershberger,2018-03-12,2018,3,12,618,United States,US-WV-003,West Virginia,Berkeley,1.5 km WSW of Johnsontown,39.5751881,-78.0568421,Adult Female – 1,Call,Not Used,,,,,Sound Devices 702,Sennheiser MKH 8020,Roche Parabola 74cm/17.7cm (29.1in/7in),,,,-0.6,,"Female Carolina Wren calling from near front of house after just leaving the nest. Male giving calls in second example of female chatter calls.
 Same individuals as in ML539355. Equipment Notes: SD 702 HPF on (80Hz, -12dB/octave).",,Thryothorus ludovicianus,carwre,Species,27107,,4.20,5,,,
609311038,Audio,Carolina Wren,Thryothorus ludovicianus,,Ben Newhouse,2023-09-23,2023,9,23,1407,United States,US-PA-003,Pennsylvania,Allegheny,Sygan Hill top,40.3581298,-80.1369998,,Call,Unspecified,,,,,,,,,S150577683,,,,,,Thryothorus ludovicianus,carwre,Species,27107,,5.00,3,,,
214304331,Audio,Carolina Wren,Thryothorus ludovicianus,,Jay McGowan,2020-03-08,2020,3,8,744,United States,US-NY-109,New York,Tompkins,Roy H. Park Preserve (FLLT)--south,42.4259195,-76.3357544,Adult Female – 1,Call,Used,,,,,Sound Devices MixPre-3 II,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S65560437,,,,"Scolding calls in response to playback from what turned out to be a female, based on response to playback of song (ML214304701). Mostly calling from mid-height in a tree after ascending from lower vegetation.",Female,Thryothorus ludovicianus,carwre,Species,27107,,5.00,3,,,
190201321,Audio,Carolina Wren,Thryothorus ludovicianus,,Jay McGowan,2019-11-17,2019,11,17,1017,United States,US-NY-109,New York,Tompkins,Salt Point Natural Area,42.5394116,-76.5496267,Adult – 1,Call,Not Used,,,,,Sound Devices MixPre-3 II,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S61523749,,,,"Calls from a single individual low in goldenrod off path, calling in response to pishing. At 2:46 switched to cheer calls, then at 3:18 to soft song intersperced with high-pitched, tree sparrow -like notes similar to those given by the pair in ML190199431.",,Thryothorus ludovicianus,carwre,Species,27107,,5.00,3,,,
185992871,Audio,Carolina Wren,Thryothorus ludovicianus,,Reanna Thomas,2019-05-11,2019,5,11,1828,United States,US-OH-025,Ohio,Clermont,Stillmeadow Farms (Private),39.1605250,-84.1785910,,Call,Not Used,,,,,,,,,S56169404,,,,Scolding a nearby cat.,,Thryothorus ludovicianus,carwre,Species,27107,,5.00,3,,,
185122241,Audio,Carolina Wren,Thryothorus ludovicianus,,Jay McGowan,2019-10-28,2019,10,28,801,United States,US-NY-109,New York,Tompkins,Salt Point Natural Area,42.5394116,-76.5496267,Adult – 1,Call,Not Used,,,,,Sound Devices MixPre-3 II,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S60993070,,,,,,Thryothorus ludovicianus,carwre,Species,27107,,5.00,3,,,
375222571,Audio,Carolina Wren,Thryothorus ludovicianus,Cyanocitta cristata -- Blue Jay,Susan Elliott,2021-10-05,2021,10,5,902,United States,US-VT-021,Vermont,Rutland,D & H Rail Trail--Castleton to South St.,43.5986630,-73.1857145,Unknown – 2,Call,Not Used,,,,,iPhone12 Pro/AVR,none,none,,S95632576,,,,,,Thryothorus ludovicianus,carwre,Species,27107,,4.25,4,,,
