ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
436602761,Audio,Chipping Sparrow,Spizella passerina,,Jeff Ellerbusch,2022-04-16,2022,4,16,515,United States,US-NJ-025,New Jersey,Monmouth,Sandy Hook,40.4392518,-73.9869263,Adult – 1,Call; Flight Call,Unspecified,,,,,Marantz PMD661 MKII,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S107235907,,,,"""tsit"" chips and a single flight call from a perched up bird near Lot M (different bird than previous audio)","7 in extended overhead flight during morning flight count at north end, some additional birds were also in low flight/moving through dune scrub",Spizella passerina,chispa,Species,32708,,5.00,5,,,
620678027,Audio,Chipping Sparrow,Spizella passerina,,James (Jim) Holmes,2024-06-19,2024,6,19,1050,United States,US-VA-187,Virginia,Warren,Eastham Park,38.9124791,-78.2086742,Adult – 1,Call,Not Used,,,,,MixPre-3 II,Sennheiser MKH 8070,,,S182531758,,,,,2 juveniles,Spizella passerina,chispa,Species,32708,,5.00,4,,,
577914641,Audio,Chipping Sparrow,Spizella passerina,,Enrique Mejía,2023-05-27,2023,5,27,546,Honduras,HN-OC,Ocotepeque,,Calle de San Marcos a La Puerta (2.3 km),14.4099594,-88.9585599,Adult – 2,Call; Foraging or Eating,Unspecified,,,,,iPhone 11 Pro Max,,,,S139449986,,,,,,Spizella passerina,chispa,Species,32708,,4.60,5,,,
436601991,Audio,Chipping Sparrow,Spizella passerina,,Jeff Ellerbusch,2022-04-16,2022,4,16,515,United States,US-NJ-025,New Jersey,Monmouth,Sandy Hook,40.4392518,-73.9869263,Adult – 1,Call; Mechanical Sound,Not Used,,,,,Marantz PMD661 MKII,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S107235907,,,,"""tsit"" chips from a perched up bird near Lot M (3rd to last call plus wings on take off, final 2 calls in flight)","7 in extended overhead flight during morning flight count at north end, some additional birds were also in low flight/moving through dune scrub",Spizella passerina,chispa,Species,32708,,4.75,4,,,
613993451,Audio,Chipping Sparrow,Spizella passerina,Cardinalis cardinalis -- Northern Cardinal,Amy Swarr,2022-05-12,2022,5,12,1642,United States,US-VT-027,Vermont,Windsor,"Weston Heights/Kennedy Drive Neighborhood, Windsor, Vermont, US (43.443, -72.399)",43.4427537,-72.3992180,Adult – 1,Call,Unspecified,,,,,,,,,S109817999,,,,An adult calling in our yard while flying to different shrubs and on the ground.,2 Singing 1 calling while flying around our yard and to shrubs.,Spizella passerina,chispa,Species,32708,,5.00,3,,,
358822021,Audio,Chipping Sparrow,Spizella passerina,,Jeff Ellerbusch,2021-07-24,2021,7,24,553,United States,US-NJ-025,New Jersey,Monmouth,Sandy Hook,40.4392518,-73.9869263,,Call,Not Used,,,,,Marantz PMD661 MKII,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S92251627,,,,Begging type calls presumably from a juvenile but viewing circumstances made it impossible to say with certainty what age the bird/s was that was calling (both adults and juveniles were present during this audio).,,Spizella passerina,chispa,Species,32708,,5.00,3,,,
534483,Audio,Chipping Sparrow,Spizella passerina,,Wil Hershberger,2017-07-05,2017,7,5,550,United States,US-MD-043,Maryland,Washington,"Antietam National Battlefield, Sharpsburg.",39.4799471,-77.7422512,Juvenile – 1,Call,Not Used,,,,,Sound Devices 702,Sennheiser ME 62,Roche Parabola 74cm/17.7cm (29.1in/7in),,,,22.2,,"Juvenile Chipping Sparrow begging incessantly from an adult Chipping Sparrow as they both move along the zig zag split rail fence along Smoketown Road. This is the same juvenile that displaced the singing adult male Chipping Sparrow in ML 534482. Other Behaviors: Beg. Equipment Notes: SD 702 HPF on at 80Hz, -12dB/octave.",,Spizella passerina,chispa,Species,32708,,3.83,6,,,
232104111,Audio,Chipping Sparrow,Spizella passerina,,Magdalena Z,2019-06-06,2019,6,6,1030,Canada,CA-ON-WL,Ontario,Wellington,"Grand River Trail off MiddleBrook Rd and 3 Line W, Elora, ON",43.6512211,-80.4509208,Adult Male – 2,Call; Foraging or Eating,Not Used,,,,,LS-11 Olympus,Wildtronics Mono-Stereo set of mics,"Parabola, headphones",,S57145343,,,,"two individuals calling from low shrubby tree in a meadow; a couple alerted to my presence, possible alarm calls",,Spizella passerina,chispa,Species,32708,,4.67,3,,,
620678118,Audio,Chipping Sparrow,Spizella passerina,,James (Jim) Holmes,2024-06-19,2024,6,19,1050,United States,US-VA-187,Virginia,Warren,Eastham Park,38.9124791,-78.2086742,Adult – 1,Call,Not Used,,,,,MixPre-3 II,Sennheiser MKH 8070,,,S182531758,,,,,2 juveniles,Spizella passerina,chispa,Species,32708,,4.00,4,,,
168439961,Audio,Chipping Sparrow,Spizella passerina,,Subramanian Sankar,2019-06-12,2019,6,12,555,United States,US-NY-097,New York,Schuyler,Finger Lakes NF--Teeter Pond Area,42.5426153,-76.7982316,Adult Male,Call,Not Used,,,,,Sound Devices Mixpre-3,Telinga Stereo Dat MK2,"Telinga 22"" Parabola",,S57327235,,,,,,Spizella passerina,chispa,Species,32708,,4.33,3,,,
157421181,Audio,Chipping Sparrow,Spizella passerina,,LynnErla Beegle,2019-05-09,2019,5,9,1335,United States,US-NC-183,North Carolina,Wake,Strickland Park,35.9079247,-78.7143790,,Call,Unspecified,,,,,,,,,S56048490,,,,"Very odd call. We were looking at this CHSP as it was calling, so we are positive about the identity. In the woods, eye level, near the smaller pond, calling at 14:21",,Spizella passerina,chispa,Species,32708,,4.33,3,,,
118565241,Audio,Chipping Sparrow,Spizella passerina,,Nick Kiehl,2018-10-12,2018,10,12,835,United States,US-IN-097,Indiana,Marion,Fort Harrison SP,39.8716060,-86.0251808,Adult,Call,Not Used,,,,,Zoom H5,,,,S49137294,,,,Perched at close range.,,Spizella passerina,chispa,Species,32708,,4.33,3,,,
620428230,Audio,Chipping Sparrow,Spizella passerina,Poecile atricapillus -- Black-capped Chickadee,Amy Swarr,2024-06-09,2024,6,9,1913,United States,US-VT-027,Vermont,Windsor,"Weston Heights/Kennedy Drive Neighborhood, Windsor, Vermont, US (43.443, -72.399)",43.4427537,-72.3992180,Adult – 1; Juvenile – 1,Call; Feeding Young,Unspecified,,,,,Samsung S22,,,,S180493166,,,,"Juvenile begging calls from a shrub in our yard. When adult approached with suet on the fence, the juvenile came out of the shrub to join the adult on the fence and was fed.",1 at suet feeder eating then grabbed a chunk and flew off several times. Juvenile begging cries from our border shrub then flew to our dog fence to meet the adult with food. Was fed suet from our dog fence. Recorded.,Spizella passerina,chispa,Species,32708,,5.00,2,,,
457681821,Audio,Chipping Sparrow,Spizella passerina,,Wil Hershberger,2022-06-07,2022,6,7,735,United States,US-ME-009,Maine,Hancock,Acadia NP--Schoodic Institute Campus,44.3353649,-68.0611429,Adult Male – 1,Call,Not Used,,,,,Sound Device 702,Senn. MKH8020,Roche Parabola 74cm/17.7cm (29.1in/7in),,S112364070,,,,"Behavior and other notes: Adult Chipping Sparrow giving calls from a Balsam Fir next to the parking lot. He had just been singing before the start of this cut. Equipment Notes: Recorder HPF on at 80Hz, -12dB/octave. Channels: Mono Distance to source: 13 meters. Recording Time: 0738 (UTC -4). Temperature 7.8°C. Habitat: Spurce/fir forest with maples and birches, open lawns. Specific location: Schoodic Training Center at the water tower., Hancock Co., Maine. Latitude 44.336533, Longitude -68.062526. Elevation 15 meters. ID’d by: sight and sound 100%. Playback: No used. Recordist original file name: WH_22T0585_Chipping Sparrow calls_Hancock Co ME_ML.WAV.wav",,Spizella passerina,chispa,Species,32708,,5.00,2,,,
